trial_id,file_path,label,rejected
1,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_1.csv,left,False
2,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_2.csv,right,False
3,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_3.csv,left,False
4,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_4.csv,left,False
5,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_5.csv,left,False
6,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_6.csv,right,False
7,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_7.csv,right,False
8,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_8.csv,left,False
9,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_9.csv,left,False
10,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_10.csv,right,False
11,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_11.csv,left,False
12,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_12.csv,right,False
13,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_13.csv,left,False
14,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_14.csv,left,False
15,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_15.csv,left,False
16,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_16.csv,right,False
17,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_17.csv,right,False
18,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_18.csv,left,False
19,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_19.csv,right,False
20,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_20.csv,left,False
21,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_21.csv,right,False
22,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_22.csv,left,False
23,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_23.csv,left,False
24,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_24.csv,left,False
25,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_25.csv,left,False
26,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_26.csv,right,False
27,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_27.csv,right,False
28,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_28.csv,right,False
29,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_29.csv,left,False
30,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_30.csv,right,False
31,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_31.csv,left,False
32,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_32.csv,left,False
33,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_33.csv,left,False
34,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_34.csv,right,False
35,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_35.csv,left,False
36,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_36.csv,right,False
37,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_37.csv,right,False
38,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_38.csv,left,False
39,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_39.csv,right,False
40,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_40.csv,left,False
41,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_41.csv,left,False
42,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_42.csv,left,False
43,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_43.csv,left,False
44,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_44.csv,right,False
45,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_45.csv,left,False
46,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_46.csv,left,False
47,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_47.csv,right,False
48,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_48.csv,right,False
49,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_49.csv,right,False
50,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_50.csv,right,False
51,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_51.csv,right,False
52,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_52.csv,right,False
53,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_53.csv,right,False
54,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_54.csv,left,False
55,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_55.csv,right,False
56,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_56.csv,right,False
57,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_57.csv,right,False
58,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_58.csv,left,False
59,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_59.csv,left,False
60,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_60.csv,right,False
61,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_61.csv,left,False
62,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_62.csv,left,False
63,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_63.csv,left,False
64,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_64.csv,left,False
65,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_65.csv,left,False
66,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_66.csv,right,False
67,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_67.csv,right,False
68,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_68.csv,left,False
69,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_69.csv,left,False
70,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_70.csv,left,False
71,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_71.csv,right,False
72,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_72.csv,right,False
73,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_73.csv,right,False
74,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_74.csv,right,False
75,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_75.csv,left,False
76,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_76.csv,left,False
77,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_77.csv,left,False
78,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_78.csv,right,False
79,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_79.csv,right,False
80,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_80.csv,left,False
81,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_81.csv,right,False
82,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_82.csv,left,False
83,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_83.csv,left,False
84,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_84.csv,left,False
85,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_85.csv,right,False
86,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_86.csv,right,False
87,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_87.csv,left,False
88,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_88.csv,right,False
89,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_89.csv,right,False
90,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_90.csv,right,False
91,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_91.csv,left,False
92,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_92.csv,left,False
93,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_93.csv,right,False
94,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_94.csv,right,False
95,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_95.csv,right,False
96,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_96.csv,right,False
97,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_97.csv,left,False
98,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_98.csv,left,False
99,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_99.csv,right,False
100,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_100.csv,left,False
101,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_101.csv,left,False
102,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_102.csv,right,False
103,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_103.csv,left,False
104,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_104.csv,right,False
105,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_105.csv,left,False
106,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_106.csv,left,False
107,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_107.csv,right,False
108,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_108.csv,left,False
109,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_109.csv,right,False
110,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_110.csv,right,False
111,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_111.csv,left,False
112,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_112.csv,left,False
113,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_113.csv,right,False
114,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_114.csv,left,False
115,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_115.csv,left,False
116,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_116.csv,left,False
117,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_117.csv,left,False
118,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_118.csv,right,False
119,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_119.csv,left,False
120,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_120.csv,left,False
121,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_121.csv,left,False
122,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_122.csv,right,False
123,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_123.csv,left,False
124,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_124.csv,left,False
125,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_125.csv,left,False
126,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_126.csv,left,False
127,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_127.csv,right,False
128,C:\BCI\cortex-call\notebooks\data\processed\filtered_trials\cellula_MI_data_128.csv,right,False
